TEXTFILE_FILTER,文本文件(*.txt;*.csv)|*.txt;*.csv||,Text File(*.txt;*.csv)|*.txt;*.csv||,文字檔案(*.txt;*.csv)|*.txt;*.csv||
COPYRIGHT,Copyright(C) 2010-2011 中期信息技术服务有限公司,"Copyright(C) 2010-2011 CIFCO ITSER VICES CO.,LTD",Copyright(C) 2010-2011 中期資訊技術服務有限公司
TELEPHONE,客服热线:400-8888-160,Tele:400-8888-160,客服熱線:400-8888-160
BTN_QP_BUTTONQUERY,查询,Query,查詢
BTN_QP_BUTTONEDIT,编辑,Edit,編輯
BTN_QP_BUTTONDELETE,撤单,Delete,撤單
BTN_QP_BUTTONDETAIL,盈损明细,P&L Detail,盈損明細
BTN_QP_BUTTONCLEAR,全部撤单,Clear,全部撤單
BTN_QP_BUTTONPLDETAIL,赢损单明细,P&L Detail,贏損單明細
BTN_QP_BUTTONPAUSE,暂停,Pause,暫停
BTN_QP_BUTTONACTIVE,激活,Active,啟動
BTN_QP_BUTTONDONOW,立即执行,Execute,立即執行
BTN_QP_SHOWDELETED,显示撤单,Show Deleted,顯示撤單
BTN_QP_HIDESTEOPCONDITION,隐藏盈损条件单,Hide Stop Condition Order,隱藏盈損條件單
BTN_QP_ALL,全部,All,全部
MSG_PRO_CANNOTDELETE,属于止盈止损单的条件单无法直接编辑、撤单或改变状态，\n请到止盈止损单板块中修改。,"Belong to only the profit of a stop order conditions for a single edit, delete, or change the status \ n go to modify a single plate, only the profit stop.",屬於止盈止損單的條件單無法直接編輯、撤單或改變狀態，\n請到止盈止損單板塊中修改。
MSG_PRO_CANNOTDONOW,本地条件单非激活状态，无法立即执行。,"Local conditions of a single non-active, immediate implementation of the failure.",本地條件單非激活狀態，無法立即執行。
MSG_PRO_CLEARCONDITION,撤销所有的本地的服务器上的条件单，请确认？,Would you delete all condition order?,撤銷所有的本地的伺服器上的條件單，請確認？
MSG_PRO_DELETEFIALED,撤销失败，未找到指定的条件单。,Do'nt find the stop condition order.,撤銷失敗，未找到指定的條件單。
MSG_POS_DELETEFIALED,撤销失败，未找到指定的止盈止损单。,Do'nt find the stop P & L order.,撤銷失敗，未找到指定的止盈止損單。
MSG_PRO_PAUSEFIALED,暂停失败，条件单被撤销删除或已过期。,Pause fail，condition order be delete or over.,暫停失敗，條件單被撤銷或已過期。
CONDITIONCURRENT_TITLE,编辑当前条件单,Edit Current,編輯當前條件單
MSG_PRO_CONFIDTIONDELETED,激活失败，条件单被撤销或已过期。,"Active fail, The condition order has deleted or over.",啟動失敗，條件單被撤銷或已過期。
MSG_PRO_DONOWLOCAL,是否要立即执行当前服务器条件单的下单？,Would you launch the server condition order Immediately?,是否要立即執行當前伺服器條件單的下單？
MSG_PRO_DONOWSERVER,是否要立即执行当前本地条件单的下单？,Would you launch the local condition order Immediately?,是否要立即執行當前本地條件單的下單？
MSG_PRO_ORDERFINAL,当前本地条件单已执行完成，不能在执行。,The local condition order is final,當前本地條件單已執行完成，不能在執行。
MSG_POS_MAKECONDITIONORDER,生成条件单,Make condition order,生成條件單
MSG_POS_PL_EXECUTE,执行止盈止损,Execute stop P & L,執行止盈止損
MSG_POS_PL_CANCEL,撤销止盈止损,Cancel stop P & L,撤銷止盈止損
MSG_POS_PL_FINISH,止盈止损完成,Stop P & L finish,止盈止損完成
OLS_UPLWPRICE,涨跌停价,Upper/Lower price,漲跌停價
OLS_LIMITPRICE,限价,Limit price,限價
MSG_POS_CLEARNOW,现在准备撤销所有的盈损单,Would you delete all profit order Immediately?,現在準備撤銷所有的盈損單
BTN_MANSEND,手动发出,Manual Send,手動發出
BTN_INTOTRADER,当重新进入交易状态时,Enter Normal Status,當重新進入交易狀態時
TRADER_DLG_FORMAT,合　　约： %s\n买　　卖： %s\n[[开　　平： %s\n]]申报数量： %s\n申报价格： %s\n,Contract: %s\nBuySell: %s\n[[OpenClose: %s\n]]QTY: %s\nPrice: %s\n,合　　約： %s\n買　　賣： %s\n[[開　　平： %s\n]]申報數量： %s\n申報價格： %s\n
TRADER_ERROR_FORMAT,预埋单编号： %s\n错误编号： %s\n错误信息： %s\n,Parking Number: %s\nError Number: %s\nError Message: %s\n,預埋單編號： %s\n錯誤編號： %s\n錯誤資訊： %s\n
PARK_SEND_CANCEL_OK,下预埋撤单成功,Send parking cancel OK,下預埋撤單成功
PARK_CONVERT_CANCEL_OK,预埋撤单转换成功,Parking cancel convert OK,預埋撤單轉換成功
PARK_SEND_CANCEL_FAILED,下预埋撤单失败,Send parking cancel fail,下預埋撤單失敗
PARK_CONVERT_CANCEL_FAILED,预埋撤单转换失败,Parking cancel convert fail,預埋撤單轉換失敗
PARK_ORDER_FORMAT,报单编号： %s\n合　　约： %s\n数量变化： %s\n,Order SysID: %s\nContract: %s\nQTY Change: %s\n,報單編號： %s\n合　　約： %s\n數量變化： %s\n
PARK_DELETE_OK,撤销预埋单成功,Delete parking order OK,撤銷預埋單成功
PARK_DELETE_OK_TEXT,编号： %s 的预埋单从服务器上成功删除\n,"The number: %s of Parking Order, delete OK from server\n",編號： %s 的預埋單從伺服器上成功刪除\n
PARK_DELETE_FAIL,撤销预埋单失败,Delete parking order fail,撤銷預埋單失敗
PARK_DELETE_FAIL_TEXT,错误编号： %s\n错误信息： %s\n,Error Number: %s\nError message: %s\n,錯誤編號： %s\n錯誤資訊： %s\n
PARK_DELETE_ALL_ORDER,撤销所有的本地的服务器的预埋单，请确认？,Would you delete all parking order?,撤銷所有的本地的伺服器的預埋單，請確認？
PARK_DELETE_NOTEXIST,本地预埋单非激活状态，无法立即执行。,"The local parking order has not found or be pause, don't launch immediately.",本地預埋單非激活狀態，無法立即執行。
PARK_DELETE_NOTACTIVE,当前本地预埋单非活动状态或已执行,The local parking order is pause or over,當前本地預埋單非活動狀態或已執行
PARK_DONOW_LOCALINSERT,是否要立即执行当前本地预埋单的下单？,Would you launch the local parking order immediately?,是否要立即執行當前本地預埋單的下單？
PARK_DONOW_SERVERINSERT,是否要立即执行当前服务器预埋单的下单？,Would you launch the server parking order immediately?,是否要立即執行當前伺服器預埋單的下單？
PARK_DONOW_SERVERCANCEL,是否要立即执行当前服务器预埋撤单的下单？,Would you launch the server parking cancel immediately?,是否要立即執行當前伺服器預埋撤單的下單？
PARK_PAUSEFIALED,暂停失败，预埋单被删除或已过期。,Pause fail，Parking order be delete or over.,暫停失敗，預埋單被刪除或已過期。
PARK_DELETENOTEXIST,撤销失败，当前预埋单的状态不适合撤单。,"Delete failed, the current state is not suitable for embedded single deleted.",撤銷失敗，當前預埋單的狀態不適合撤銷。
PARK_SERVERID,服务器单:%s,Server:%s,伺服器單:%s
PARKED_ERROR_MESSAGE,当前本地预埋单状态不适合本次操作。,Local embedded single state is not suitable for this operation.,當前本地預埋單狀態不適合本次操作。
PARKED_ERROR_TITLE,错误提示,Error,错误提示
PARK_LOCALID,本地%s单:% 12d,Local %s:% 12d,本地%s單:% 12d
PARK_MANUAL,手动,Manual,手動
PARK_AUTO,自动,Auto,自動
VK_BACKSPACE_TEXT,退格,BackSpace,退格
VK_ESC_TEXT,关闭,ESC,關閉
VK_SPACE_TEXT,空格,Space,空格
VK_CAPS_TEXT,大写锁定,Caps Lock,大寫鎖定
DETAIL_TEXT,明细,Detail,明細
SUM_TEXT,合计,Sum,合計
CANCEL_OVER_TIME,撤单响应超期，本次下单失败,"Cancel order time out, The cancel is fail",撤單回應超期，本次下單失敗
DEFAULTQTY_MUL,默认手数: %d * %d(倍率),Default QTY: %d * %d(Multiple),默認手數: %d * %d(倍率)
FUNDS_AVAILABLE,可用资金: -,Funds available: -,可用資金: -
FUNDS_AVAILABLE_2F,可用资金: %0.2f,Funds available: %0.2f,可用資金: %0.2f
OPEN_QTY,可开手数: -,Open QTY: -,可開手數: -
OPEN_QTY_F,可开手数: %d,Open QTY: %d,可開手數: %d
CLOSE_OR_TODAY,可平/今: -/-,Close/Today: -/-,可平/今: -/-
CLOSE_OR_TODAY_F,可平/今: %d/%d,Close/Today: %d/%d,可平/今: %d/%d
CDOCQPM_FORMAT,合约： %s\n方向： %s\n[[开平： %s\n]]委托量： %s\n委托价： %s\n备注： %s,ContractID: %s\nDirection: %s\n[[OpenClose: %s\n]]QTY: %s\nPrice: %s\nComment: %s,合約： %s\n方向： %s\n[[開平： %s\n]]委託量： %s\n委託價： %s\n備註： %s
CANCEL_ORDER_FORMAT,合约： %s\n方向： %s\n[[开平： %s\n]]委托量： %s\n委托类型： %s\n委托价： %s\n备注： %s,ContractID: %s\nDirection: %s\n[[OpenClose: %s\n]]QTY: %s\nOrderType: %s\nPrice: %s\nComment: %s,合約： %s\n方向： %s\n[[開平： %s\n]]委託量： %s\n委託類型： %s\n委託價： %s\n備註： %s
CANCELQTYPRC_FORMAT,"撤单 %s: [[%s]] %s %s %s手 于价格 %s[[, %s]]\n","Cancel %s: [[%s]] %s %s QTY:%s Price:%s[[, %s]]\n","撤單 %s: %s %s %s %s手 於價格 %s[[, %s]]\n"
NEW_ORDER_F,下单: \n,New Order:\n,下單: \n
CONMENO_FORMAT,合约： %s\n备注： %s,ContractID: %s\nMemo: %s,合約： %s\n備註： %s
PRCQTY_FORMAT,以价格:%s %s %s %s %s %d手 %s\n,price:%s %s %s %s %s QTY:%d %s\n,以價格:%s %s %s %s %s %d手 %s\n
Printf_OrderTypeTitle,下单类型,OrderType,下單類型
Printf_AccountTitle,帐号,Account,帳號
Printf_InstrumentIDTitle,合约,InstrumentID,合約
Printf_DirectionTitle,方向,B/S,方向
Printf_OpenCloseTitle,开平,OC,開平
Printf_QtyTitle,手数,QTY,手數
Printf_PriceTitle,价格,LimitPrice,價格
Printf_TriggerPriceTitle,触发价,Price,觸發價
PROFIT_ERROR_MESSAGE,已没有未成交单可进行编辑/删除操作,Has been no transaction is not single can edit / delete operations,已沒有未成交單可進行編輯/刪除操作
PROFIT_ERROR_TITLE,错误提示,Error,错误提示
PROMPT_BEFORE_SECONDS,秒的声音提示:,Seconds Before Trade End:,秒的聲音提示
Printf_HedgeTitle,投保,H/S,投保
ORDER_MARKET_TYPE,市价单,Market,市價單
ORDER_LIMIT_TYPE,限价单,Limit,限價單
ORDER_STOP_TYPE,止损单,Stop,止損單
ORDER_STOPLIMIT_TYPE,止损限价单,Stop Limit,止損限價單
ORDERSTATUS,报单状态,Order Status,報單狀態
STOP_TYPE_FORMAT,%s:\n合约 %s\n触发价 %s\n%s\n%s\n%d手,%s:\nContractID %s \nTriggerPrice %s\n%s\n%s\nQTY:%d,%s:\n合約 %s\n觸發價 %s\n%s\n%s\n%d手
STOPLIMIT_TYPE_FORMAT,%s:\n合约 %s\n触发价 %s\n价格%s\n%s\n%s\n%d手,%s:\nContractID %s \nTriggerPrice %s\nOderPrice %s\n%s\n%s\nQTY:%d,%s:\n合約 %s\n觸發價 %s\n價格%s\n%s\n%s\n%d手
SELECT_STOP_MODE,请选择止损模式,"Select stop mode, please",請選擇止損模式
COPQSOC_FOMRAT,合约：%s\n操作：%s、%s、%s\n价格：%s\n数量：%d\n\n止损价差：%0.2f\n止盈价差：%0.2f\n平仓方式：%s\n\n,ContractID:%s\nOprate：%s、%s、%s\nPrice:%s\nQTY:%d\n\nStop price offset:%0.2f\nOnly profit price offset:%0.2f\nClose mode:%s\n\n,合約：%s\n操作：%s、%s、%s\n價格：%s\n數量：%d\n\n止損價差：%0.2f\n止盈價差：%0.2f\n平倉方式：%s\n\n
OIP_SERVER,服务器,Server,伺服器
OIP_LOCAL,本地,Local,本地
OIP_EXECONPRC_FORMAT,在%s执行：\n当合约 %s 的行情 %s %s %s 时，\n按 %s 价格，\n%s %s %d手。,"on %s run:\nIf ContractID %s 's quot %s，\n%s %s, \nthan %s price，\n%s %s QTY:%d。",在%s執行：\n當合約 %s 的行情 %s %s %s 時，\n按 %s 價格，\n%s %s %d手。
OIP_PARK_TRIGGER,设置预埋单触发条件,Set parking  condition for trigger,設置預埋單觸發條件
SELECT_BATCH_MODE,请选择批量下单价格模式,"Select a batch price mode, Please",請選擇批量下單價格模式
BATCH_QTY_BIG_ZERO,每批手数必须大于0,Each batch PTY must >= 0,每批手數必須大於0
BATCH_TIME_BIG_ZERO,批次间隔[秒]必须大于0,Each timer interval[second] must >= 0,批次間隔[秒]必須大於0
BATCH_ORDER_INVALIDPRICE,批量单指定的价格当前无效，下单推迟,"Sale price or the latest price is invalid, the orders to postpone",批量單指定的價格當前無效，下單推遲
SELECT_CONDITION_MODE,请选择条件单价格模式,"Select price condition mode, please",請選擇條件單價格模式
SELECT_CONDI_OPERATOR,请选择大于还是小于条件,Select condition '>=' or '<=' or '>' or '<',請選擇大於還是小於條件
SEND_BACTH_ORDER,批量委托发送,Send bacth order,批量委託發送
BATCH_PRCQTY_FORMAT,以价格:%s %s %s %s %d手 %s\n按每%d秒批 每批%d手 %s 发送,Order price:%s %s %s %s QTY:%d %s\nfor each %d second send %d QTY with %s,以價格:%s %s %s %s %d手 %s\n按每%d秒批 每批%d手 %s 發送
BTN_CLOSE_TEXT,关闭,Close,關閉
BTN_YES_TEXT,是(&Y),&YES,是(&Y)
BTN_NO_TEXT,否(&N),&NO,否(&N)
USE_MKT,以 市价,use MKT,以 市價
USE_PRICE,以 价格,use LMT,以 價格
BATCH_NUM_OK_FORMAT,第 %d 批发送成功,The %d send OK,第 %d 批發送成功
BATCH_NUM_FAIL_FORMAT,"第 %d 批发送失败, %s""","The %d send fail, %s","第 %d 批發送失敗, %s"""
BATCH_ALL_SEND_FINISH,全部发送完毕,All send complete,全部發送完畢
QTY_COUNT,手,,手
LOG_LEVEL,级别,Level,級別
LOG_TYPE,类别,Type,類別
LOG_TIME,时间,Time,時間
LOG_MSG,信息,Information,信息
LOG_DLG_TITLE,日志记录,Log Information,日誌記錄
RECONNECT,重连,ReConnect,重連
MOVE_POSITION,移仓,Move Position,移倉
SWAP_POSITION,换仓,Swap Position,換倉
SUBMIT_CONFIRM,操作确认,Submit confirm,操作確認
OPEN_ORDER,挂单,Open Order,掛單
ALL_ORDER,全部单,All Order,全部單
CANCEL_FAIL_ORDER,已撤单/错单,Cancel/Fail,已撤單/錯單
FILL_MESSAGE,成交通知,Fill message,成交通知
CBSOCQP_FORMAT,合约： %s\n买卖： %s\n[[开平： %s\n]]成交量： %s\n成交价： %s\n,Contract: %s\nBuySell: %s\n[[OpenClose: %s\n]]Volume: %s\nPrice: %s\n,合約： %s\n買賣： %s\n[[開平： %s\n]]成交量： %s\n成交價： %s\n
SEND_ORDER_OK,下单成功,Send order success,下單成功
CANCEL_ORDER_OK,撤单成功,Cancel success,撤單成功
REACH_UPPER_LIMIT,达到上限,Reach upper limit,達到上限
CONDITION_ORDER_CONVENT_SUCCESS,转化成功,Convent success,轉化成功
CONDITION_ORDER_CONVENT_FAILED,转化失败,Convent failed,轉化失敗
PLDETAIL_ERROR_MESSAGE,当前盈损明细状态不适合本次操作。,The details of state surplus loss is not suitable for this operation.,當前盈損明細狀態不適合本次操作。
PLDETAIL_ERROR_MESSAGE_SERVNOTOUCH,服务器条件单不允许编辑,Server conditions of a single allowed to edit,服務器條件單不允許編輯
CVOLPRC_FORMAT,合约： %s\n委托量： %s\n委托价： %s\n,Contract: %s\nVolume: %s\nPrice: %s\n,合約： %s\n委託量： %s\n委託價： %s\n
PASSWORD_ERROR,密码错误,Password error,密碼錯誤
LAYOUT_STANDARD,1.标准(类似金仕达),1.Standard,1.標準
LAYOUT_CLASSICS,2.经典(类似快期),2.Classics,2.經典
LAYOUT_SIMPLE,3.精简,3.Simple,3.精簡
LAYOUT_QUICK,4.快速,4.Quick,4.快速
STATUS_STANDARD,标准,Standard,標準
STATUS_CLASSICS,经典,Classics,經典
STATUS_SIMPLE,精简,Simple,精簡
STATUS_QUICK,快速,Quick,快速
RECONNECT_SERVER,是否要重新连接服务器?,Disconnect and reconnect Server?,是否要重新連接伺服器?
STATUS_DISCONNECTED,未连接,Disconnected,未連接
STATUS_CONNECTING,正在连接,Connecting,正在連接
STATUS_LOGINING,正在登录,Logining,正在登錄
STATUS_LOGINFAILURE,登录失败,LoginFailure,登錄失敗
STATUS_TRADESETTLEMENTINFOCONFIRMING,正在进行交易结算结果确认,TradeSettlementInfoConfirming,正在進行交易結算結果確認
STATUS_TRADESETTLEMENTINFOCONFIRMFAILURE,交易结算结果确认失败,TradeSettlementInfoConfirmFailure,交易結算結果確認失敗
STATUS_CONNECTED,连接登录成功,Connected,連接登錄成功
STATUS_DISCONNECTING,正在断开连接,disconnecting,正在斷開連接
QUERY_COMMODITY,查询商品,Query Commodity,查詢商品
QUERY_CONTRACT,查询合约,Query Contract,查詢合約
QUERY_EXCHANGE,查询交易所,Query Exchange,查詢交易所
QUERY_ORDER_TYPE,查询报单类型,Query Order Type,查詢報單類型
QUERY_POSITION,查询账户持仓,Query Position,查詢帳戶持倉
QUERY_TRADER,查询可用账户,Query Trader,查詢可用帳戶
ID_INFODLG_PREV,上一条,Previouse,上一條
ID_INFODLG_NEXT,下一条,Next,下一條
SAVE_CURRENT_STYLE,是否保存当前风格,Save Current Style？,是否保存當前風格
CONFIG_IS_CHANGED,"配置已更改,放弃保存？",Configuration is changed.But not save it?,"配置已更改,放棄保存？"
CONFIG_TITLE,选项设置,Configuration,選項設置
DUPLICATE_FIELD,合约组名重复，不能修改或添加,"Duplicate group name,can not modify or add.",合約組名重複，不能修改或添加
STOP_PROFIT_PRICE_OFFSET,止盈价偏移,Stop Profit Price Offset,止盈價偏移
STOP_LOSE_PRICE_OFFSET,止损价偏移,Stop Lose Price Offset,止損價偏移
REVERSE_LIMIT_PRICE_OFFSET,限价反向偏移,Reverse Limit Price Offset,限價反向偏移
DEFAULT_VOLUME,默认手数,Default Volume,默認手數
ACCELERATOR,快捷键,Accelerator,快捷鍵
CONTRACT_CODE,合约代码,Contract Code,合約代碼
SET_DEFAULT_PARAMETER,"设置默认参数,可以按合约设置",Set default parameter,"設置默認參數,可以按合約設置"
SELECT_FONT_AND_COLOR,设置表格字体颜色...,Select Font And Color,設置表格字體顏色...
TITLE,标题,Title,標題
LIST_PANEL,板块,List Panel,板塊
FIX_LIST_POS,固定板块位置,Fix List Pos,固定板塊位置
SHOW_SHORTCUTKEY_ON_TITLE,板块标题上显示快捷键,Show shortcutkey On Title,板塊標題上顯示快捷鍵
LIST_NAME,板块名称,List Name,板塊名稱
ANOTHER_NAME,标题别名,Another Name,標題別名
OTHER,其它,Other,其他
MINIMIZE_TO_TRAY,最小化到托盘,Minimize To Tray,最小化到託盤
MKT_PRICE_BUYSELL_PRICE,买卖价,B/S Price,買賣價
MKT_PRICE_LAST_PRICE,最新价,Last Price,最新價
MKT_PRICE_USE,市价时，可开手数使用:,"When MKT Order,Open QTY Use:",市價時，可開手數使用:
CHOOSE_SHORTCUTKEY,快捷键选择,Choose shortcutkey,快捷鍵選擇
DEFAULT_GROUP_CANNOT_EDIT,固定合约组不能添加或删除合约,Default Group can not edit.,固定合約組不能添加或刪除合約
DEFAULT_GROUP_CANNOT_SORT,固定合约组不能改变顺序,Default Group can not sort.,固定合約組不能改變順序
INVALID_CONTRACT_CODE,无效的合约代码！,Invalid Contract Code!,無效的合約代碼！
SELF_CONTRACT_CODE,自选合约代码,Self Contract Code,自選合約代碼
CONTRACT_NAME,合约名称,Contract Name,合約名稱
CONTRACT_PROMPOT_BEFORE_END_TRADE,有持仓的合约交易结束前,If Have Positions Sound Prompt at,有持倉的合約交易結束前
EXCHANGE_DOT,交易所:,Exchange:,交易所:
EXCHANGE,交易所,Exchange,交易所
SETUP,设置,Setup,設置
GROUP_DOT,合约组:,Group:,合約組:
INPUT_DOT,输入合约:,Input: ,輸入合約:
ORDER_LIMIT,下单限制,Order Limit,下單限制
VOLUME_LIMIT,单笔手数限制,Volume Limit,單筆手數限制
VOLUME_S,手,Volume(s),手
PRICE_LIMIT_PROMPT_CANNOT_OVER,"价格限制提示,不偏离最新价","Price Limit Prompt, Can't Over","價格限制提示,不偏離最新價"
TICKER_SIZE,个最小变动价位,Ticker Size,個最小變動價位
CLEAR_ORDER_AREA,清空下单板,Clear Order Area,清空下單板
CLEAR_ORDER_AREA_AFTER_ORDER,下单后是否清空下单板,Clear Order Area After Order,下單後是否清空下單板
DO_NOT_CLEAR,不清空,Do Not Clear,不清空
CLEAR_ALL,全部清空,Clear All,全部清空
CLEAR_PRICE_AND_VOLUME,清空价格和手数,Clear Price And Volume,清空價格和手數
ONLY_CLEAR_VOLUME,只清空手数,Only Clear Volume,只清空手數
ORDER_PROMPT,下单反馈,Order Prompt,下單回饋
ORDER_DEALED,挂单成交,Order dealed,掛單成交
SELFFROUP_SET,自选合约设置,Self Group Set,自選合約設置
DELETE_SELFGROUP_INSTRUMENT,删除合约,Delete Instrument,删除合约
DELETE_INSTRUMENT_CONFIRM,确定要删除合约？,Sure you want to delete it?,確定要刪除合約？
POP_UP_PROMPT_DIALOG,弹出提示框,Pop up Prompt Dialog,彈出提示框
CANCEL_ORDER_PROMPT,撤单反馈,Cancel Order Prompt,撤單回饋
CONDITION_ORDER_PROMPT,条件单反馈,Condition Order Prompt,條件單回饋
DUPLICATE_SHORTCUTKEY_CONTINUE_TO_SAVE,快捷键有重复，确认保存?,"Duplicate shortcutkey, Continue To Save?",快捷鍵有重複，確認保存?
SEND_ORDER_WITH__CONFIRM,发出报单(带确认),Send Order(Need Confirm),發出報單(帶確認)
SEND_ORDER_NOT_WITH__CONFIRM,发出报单(不带确认),Send Order(Not Need Confirm),發出報單(不帶確認)
DO_NOT_MOVE_FOCUS_AFTER_ORDER_SEND,填单后光标不动,Do not move focus after order send,填單後游標不動
FOCUS_MOVE_TO_CONTRACTID_FIELD_AFTER_ORDER_SEND,填单后光标到合约代码,Focus move to 'ContractID' field after order send,填單後游標到合約代碼
FOCUS_MOVE_TO_BUYSELL_FIELD_AFTER_ORDER_SEND,填单后光标到买卖,Focus move to 'BuySell' field after order send,填單後游標到買賣
FOCUS_MOVE_TO_OPENCLOSE_FIELD_AFTER_ORDER_SEND,填单后光标到开平,Focus move to 'OpenClose' field after order send,填單後游標到開平
FOCUS_MOVE_TO_VOLUMN_FIELD_AFTER_ORDER_SEND,填单后光标到数量,Focus move to 'Volumn' field after order send,填單後游標到數量
FOCUS_MOVE_TO_PRICE_FIELD_AFTER_ORDER_SEND,填单后光标到价格,Focus move to 'Price' field after order send,填單後游標到價格
FOCUS_MOVE_TO_OPEN_ORDER_BUTTON_AFTER_ORDER_SEND,填单后光标到下单按钮,Focus move to 'Open Order' button after order send,填單後游標到下單按鈕
MOUSE_CLICK_QUOTE,鼠标点报价,Mouse Click Quote,滑鼠點報價
MOUSE_CLICK_POSITION,鼠标点持仓,Mouse Click Position,滑鼠點持倉
CLICK,单击时,Click,單擊時
DBCLICK,双击时,DBClick,雙擊時
MOUSE_CLICK_TO_CHANGE_PRICE,鼠标下单价格调整,Mouse Click To Change Price,滑鼠下單價格調整
ORDER_DIRECTION,下单方向,Order Direction,下單方向
REVERSE,"反向,点卖价下买单,点买价下卖单",Reverse,"反向,點賣價下買單,點買價下賣單"
NORMAL,"同向,点买价下买单，点卖价下卖单",Normal,"同向,點買價下買單，點賣價下賣單"
PRESS_CTRL_TO_REVERSE_OPEN_ORDER,允许Ctrl点击临时反转方向,Press Ctrl To Reverse Open Order,允許Ctrl點擊臨時反轉方向
MOUSE_CLICK_QUOTE_ALWAYS_OPEN_ORDER,鼠标点击报价总是开仓,"Mouse Click Quote, Always Open Order",滑鼠點擊報價總是開倉
CLICK_QUOTE_OR_POSITION_PRICE_CHANGE,鼠标点击报价或持仓时调整,"Click Quote Or Position, Price Change",滑鼠點擊報價或持倉時調整
DUPLICATE_SHORTCUTKEY_PLEASE_CHOOSE_AGAIN,"快捷键重复,请重新选择！","Duplicate shortcutkey, Please Choose Again!","快捷鍵重複,請重新選擇！"
DUPLICATE_SHORTCUTKEY,快捷键重复!,Duplicate shortcutkey,快捷鍵重複!
DUPLICATE_SHORTCUTKEY_PROMPT,如下快捷键重复，已被清空：,These dulplicate shortcutkeys have been cleaned :,如下快捷鍵重複，已被清空：
GLOBAL,全局,Global,全局
ACTION,动作,Action,動作
ACTIONZONE,作用区域,ActionZone,作用區域
OVER_PRICE,超价,Over Price,超價
DEFAULE_MULTIPLE,默认手数倍率,Defaule Multiple,默認手數倍率
IF_CHOOSE_LOTS,"如果需要以默认手数的几倍下单,可以用下快捷键切换手数倍率","If you need to order times of default lots,choose lots by the following shortcut keys","如果需要以默認手數的幾倍下單,可以用下快捷鍵切換手數倍率"
CAUTION_THIS_FUNCTION,"注意:此功能会影响下单手数,请务必仔细阅读说明书后再使用！","Caution: this function may effct the quantity of order, please take care!","注意:此功能會影響下單手數,請務必仔細閱讀說明書後再使用！"
MULTIPLE,数量乘数,Multiple,數量乘數
BY_MOUSE_KEYBOARD_USE_OPTIONS,"自动开平是指使用键盘或鼠标快捷下单时,按下面的选项自动控制开平及手数","When open order by mouse or keyboard, use these flowing options:","自動開平是指使用鍵盤或滑鼠快捷下單時,按下麵的選項自動控制開平及手數"
NO_POSITION_DEFAULT_VOLUME,"如果没有持仓,按默认手数发开仓单","If have no position, use default Volume","如果沒有持倉,按默認手數發開倉單"
NO_SOUND,不发声,No Sound,不發聲
HAVE_POSITION_USE_OPTION,"如果有持仓,则:","If have position, use the flowing option:","如果有持倉,則:"
CLOSE_ALL_POSITION,按持仓量全平,Close all position,按持倉量全平
CLOSE_BY_DEFAULT_DO_NOT_DEAL,"按默认手数平仓,超出可平量部分不处理","Close by default Volumes, do not deal with the excess","按默認手數平倉,超出可平量部分不處理"
CLOSE_BY_DEFAULT_REVERSE,"按默认手数平仓,超出可平量部分反向开仓","Close by default Volumes, reverse for the excess","按默認手數平倉,超出可平量部分反向開倉"
SET_DEFAULT_VOLUMES,设置默认手数...,Set Default Volumes...,設置默認手數...
COLOR_PLAN,列表配色方案:,Color Plan:,列表配色方案:
CURRENT_PLAN,当前配置,Current,當前配置
DEFAULT_PLAN,默认配置,Default,默認配置
BLACK_QUOTE_1,黑色报价表1,Black Quote 1,黑色報價表1
BLACK_QUOTE_2,黑色报价表2,Black Quote 2,黑色報價表2
Q7_DEFAULT,快期默认方案,Q7 Default,快期默認方案
QUOTE_TABLE_FC,报价表字体颜色设置,Quote Table Font And Color Set,報價表字體顏色設置
OTHER_TABLE_FC,其他列表字体颜色,Other Table Font And Color Set,其他列表字體顏色
FONT_MAOHAO,字体：,Font:,字體：
TEXT_COLOR,文字,Text Color,文字
BG_COLOR,底色,BG Color,底色
ODD_BG,奇行底色,Odd BG,奇行底色
EVEN_BG,偶行底色,Even BG,偶行底色
TITLE_TEXT,标题文字,Title Text,標題文字
TITLE_BG,标题底色,Title BG,標題底色
CONTRACTID2,合约,Contract ID,合約
DEFAULT_FONT,宋体,Arial,宋體
CHANGE_ORDER,常规改单,Change Order,常規改單
MOUSE_DOUBLE_CLICK_CANCEL_ORDER,鼠标双击撤单,Mouse Double Click Cancel Order,滑鼠雙擊撤單
CONFIRM_BEFORE_CANCEL_ORDER,撤单前确认,Confirm Before Cancel Order,撤單前確認
HIDE_CANCEL_BUTTON,隐藏撤单按钮,Hide Cancel Button,隱藏撤單按鈕
ENABLE_CHANGE_ORDER,启用改单功能,Enable Change Order,啟用改單功能
CONFIRM_BEFORE_CHANGE_ORDER,改单前确认,Confirm Before Change Order,改單前確認
CANCEL_BTN_SHORTCUTKEY,撤单按钮快捷键,Cancel Btn shortcutkey,撤單按鈕快捷鍵
CANCEL_ALL_BTN_SHORTCUTKEY,全撤按钮快捷键,Cancel All Btn shortcutkey,全撤按鈕快捷鍵
CONSTRACT_INPUT,合约代码输入框,Constract Input,合約代碼輸入框
